Accession,Year,historical_cluster,kmeans_cluster
ABU92740,2006,Other,13
ABU92699,2006,Other,13
ABU92596,2006,Other,13
ABU92642,2006,Other,13
ABU92745,2006,Other,13
ABU92685,2003,FU02,2
ABU92678,2005,Other,10
ABU92627,2003,FU02,2
ABU92704,2006,Other,13
ABU92748,2006,Other,13
AJK00815,2010,Other,5
AGZ61432,2012,Other,9
QIQ46146,2020,Other,3
AJK01380,2010,Other,5
AGK74726,2011,Other,9
AGZ61408,2012,Other,9
ALH27528,2014,Other,0
AZF86803,2018,Other,8
QBS20934,2019,Other,3
ALH32275,2014,Other,0
AXF93045,2017,Other,8
QJA10955,2020,Other,3
AXF93093,2017,Other,8
QDX12069,2019,Other,3
QDQ44185,2019,Other,3
AWX41809,2018,Other,8
AXQ12568,2018,Other,8
AXB51695,2018,Other,8
AXB51707,2018,Other,8
AXF93129,2018,Other,8
AXF93136,2018,Other,8
QBL91354,2018,Other,8
QED95094,2019,Other,3
QDQ44216,2019,Other,3
QCW13893,2018,Other,8
QDX12122,2018,Other,8
QHN71600,2019,Other,3
QID20052,2019,Other,3
AGL09739,2013,Other,0
ALN39671,2015,Other,6
QBX91217,2019,Other,3
AEK28785,2010,Other,5
AEK28796,2010,Other,5
AEK29004,2010,Other,5
AET10112,2011,Other,9
AET10090,2010,Other,5
AET10094,2010,Other,5
ADG21008,2009,Other,5
AJK03315,2007,Other,13
AJK02578,2007,Other,13
ABG80194,2000,SY97,12
ABI92335,2002,FU02,2
ABG26956,2002,FU02,2
ABG88641,2002,FU02,2
ABI20969,2000,SY97,12
ABI21057,2003,FU02,2
AUO38056,2015,Other,6
ADG21009,2009,Other,5
ADG21011,2009,Other,5
ADG21014,2009,Other,5
ADG21017,2009,Other,5
ADG21018,2009,Other,5
ADG21019,2009,Other,5
ADG21020,2009,Other,5
ADG21024,2009,Other,5
ADG21026,2009,Other,5
AFG72107,1989,BE89,1
AFW90022,2012,Other,9
AGF37592,2012,Other,9
AGF37561,2012,Other,9
AFG99314,1989,BE89,1
ABE12623,1972,EN72,11
AFG99512,1991,BE89,7
AJK00648,2010,Other,5
AFD64212,2003,FU02,2
AFG98863,1972,EN72,11
AFM71912,1972,EN72,11
AFD64315,2003,FU02,2
AFG99270,1988,SI87,1
AFD63538,2003,FU02,2
AFD63615,2003,FU02,2
AFD63593,2003,FU02,2
AFD63560,2003,FU02,2
AFD63681,2003,FU02,2
AFD63725,2003,FU02,2
AFD63714,2003,FU02,2
AFD63813,2003,FU02,2
AFD63923,2003,FU02,2
AFD64425,2003,FU02,2
AFD64011,2003,FU02,2
AFD64370,2003,FU02,2
AFD63879,2003,FU02,2
AFD64077,2003,FU02,2
AFD64121,2003,FU02,2
AFD64066,2003,FU02,2
AFD64044,2003,FU02,2
AFD64165,2003,FU02,2
AFD63934,2003,FU02,2
AZY87037,2018,Other,8
AFG72504,1994,BE92,7
AZY87810,2018,Other,8
AZY87811,2018,Other,8
QAB03191,2018,Other,8
AFD63648,2003,FU02,2
QBA98443,2018,Other,8
QBH71174,2019,Other,3
QBH70350,2019,Other,3
AFD63857,2003,FU02,2
QBS18412,2019,Other,3
QBS18848,2019,Other,3
QBX92070,2019,Other,3
QCP66853,2019,Other,3
QCT08560,2019,Other,3
QDC27161,2019,Other,3
AFG72184,1992,BE92,7
AFH00076,1993,BE92,7
ARI68833,2014,Other,0
AJK01949,2010,Other,5
AFG72195,1992,BE92,7
AFG72206,1992,BE92,7
AFG72217,1992,BE92,7
AFH00351,1995,WU95,7
AFH00362,1995,WU95,7
AFH00373,1995,WU95,7
AGZ61733,2009,Other,5
AJK03175,2008,Other,13
AFM72960,2009,Other,5
AFM72927,2009,Other,5
AGZ61734,2009,Other,5
APO40387,2016,Other,6
AJK01353,2007,Other,13
ACV72372,2009,Other,5
ANM97995,2016,Other,6
QBS20970,2019,Other,3
ALH33664,2015,Other,6
AGL06532,2012,Other,9
ALH34093,2015,Other,6
ACD85614,2008,Other,13
AGL07136,2012,Other,9
ANM98415,2016,Other,6
ARB16703,2017,Other,8
ANM98919,2016,Other,6
AQW36412,2017,Other,8
AGK74782,2011,Other,9
AGZ61627,2013,Other,0
ALH34266,2015,Other,6
ACF40069,2008,Other,13
ALH34201,2015,Other,6
ARD25325,2017,Other,8
APW81501,2016,Other,6
QAB01871,2018,Other,8
QAB01861,2018,Other,8
ACA33761,2007,Other,13
AGK74788,2011,Other,9
ARH15672,2017,Other,8
QBL91413,2018,Other,8
AXB52749,2017,Other,8
ALH33965,2015,Other,6
ARD25777,2017,Other,8
AXB52802,2017,Other,8
AXF92881,2017,Other,8
QJA11003,2020,Other,3
QHW15063,2019,Other,3
ARJ34520,2017,Other,8
QJA11027,2020,Other,3
QCG83876,2019,Other,3
QJA11051,2020,Other,3
ARJ34808,2017,Other,8
ARJ34856,2017,Other,8
AGK74636,2010,Other,5
ARJ34868,2017,Other,8
ARJ35204,2017,Other,8
AGK73881,2010,Other,5
ALH26030,2015,Other,6
QDX12146,2019,Other,3
ARO43243,2017,Other,8
AXA18628,2018,Other,8
AGL07085,2011,Other,9
AGK74899,2011,Other,9
QDX12165,2019,Other,3
ALH36461,2015,Other,6
QDX12177,2019,Other,3
ALH35840,2015,Other,6
QDX12201,2019,Other,3
APB90307,2015,Other,6
AGL06235,2011,Other,9
ASW32321,2017,Other,8
ASB15802,2017,Other,8
AGL06613,2012,Other,9
ANN00455,2016,Other,6
AGL09742,2012,Other,9
AGL09743,2012,Other,9
AGL09745,2013,Other,0
AGL09881,2013,Other,0
AKC43682,2014,Other,0
QDQ44257,2019,Other,3
AHE37985,2013,Other,0
AHE37992,2013,Other,0
ALH27071,2014,Other,0
ALH26926,2014,Other,0
ALH28208,2014,Other,0
ASB16380,2017,Other,8
QDE06732,2019,Other,3
AXV44069,2018,Other,8
ANN01331,2016,Other,6
ASB16787,2017,Other,8
AGZ60963,2012,Other,9
AGZ61248,2012,Other,9
ALA08499,2014,Other,0
ALA08500,2014,Other,0
AJK00511,2010,Other,5
QDQ44305,2019,Other,3
ALA08593,2014,Other,0
ALE31643,2015,Other,6
ALH36139,2015,Other,6
AOT90418,2016,Other,6
ASU07331,2017,Other,8
QDE06756,2019,Other,3
ALH36731,2015,Other,6
ASU07447,2017,Other,8
AXV44093,2018,Other,8
QDQ44341,2019,Other,3
ALE31899,2015,Other,6
AGK73573,2010,Other,5
ALH36802,2015,Other,6
ASU07459,2017,Other,8
ALE32009,2014,Other,0
ALE32010,2015,Other,6
ASV64235,2017,Other,8
ASV64247,2017,Other,8
QDE06780,2019,Other,3
ALH36584,2015,Other,6
AZF87123,2018,Other,8
ASW32987,2017,Other,8
APB90451,2014,Other,0
ALH37979,2015,Other,6
AZF87182,2018,Other,8
APR73832,2016,Other,6
ANN02577,2016,Other,6
ASZ79823,2017,Other,8
AXB51743,2018,Other,8
QDQ44348,2019,Other,3
ASB34070,2016,Other,6
ATD10927,2017,Other,8
ATD10928,2017,Other,8
ALH29916,2014,Other,0
AOT91006,2016,Other,6
ASZ79904,2017,Other,8
ATD11050,2017,Other,8
ALH37287,2015,Other,6
AXB51767,2018,Other,8
QEN97053,2019,Other,3
ATD11096,2017,Other,8
ATI22602,2017,Other,8
ATD11215,2017,Other,8
ALH37299,2015,Other,6
AXF93153,2018,Other,8
QEN97065,2019,Other,3
ATD11441,2017,Other,8
ATD11442,2017,Other,8
ATD11443,2017,Other,8
QEI02192,2019,Other,3
AXQ12604,2018,Other,8
QEN97089,2019,Other,3
APC58842,2016,Other,6
AXP19283,2018,Other,8
QEN97101,2019,Other,3
AXX75343,2018,Other,8
AGZ61052,2012,Other,9
QEN97125,2019,Other,3
ATX60685,2017,Other,8
QAB04145,2018,Other,8
ATZ78715,2017,Other,8
AMB68450,2015,Other,6
AZK23208,2018,Other,8
AMB70569,2015,Other,6
QBM11941,2018,Other,8
AMB70592,2015,Other,6
ATZ79628,2017,Other,8
QEH91661,2019,Other,3
APC59393,2016,Other,6
QBS18928,2019,Other,3
APH10248,2016,Other,6
QBX92106,2019,Other,3
APO18277,2016,Other,6
AYW00252,2018,Other,8
AMB70221,2015,Other,6
AUP47544,2017,Other,8
ALH31820,2014,Other,0
AMB70388,2015,Other,6
QFO38138,2019,Other,3
QCH42106,2019,Other,3
QCH42130,2019,Other,3
QCH42142,2019,Other,3
APH10369,2016,Other,6
AUP47604,2017,Other,8
AIE10028,2013,Other,0
APH10142,2016,Other,6
AUP47592,2017,Other,8
AZS64003,2018,Other,8
ALH32910,2014,Other,0
ANM97419,2015,Other,6
ANM97515,2015,Other,6
ALH32236,2014,Other,0
QAU20626,2018,Other,8
QCT08596,2019,Other,3
QHA77829,2019,Other,3
AUH31196,2017,Other,8
AZS63750,2018,Other,8
QDD56662,2019,Other,3
QDD56674,2019,Other,3
QGW44157,2019,Other,3
QDX11102,2019,Other,3
ABV30272,2007,Other,13
AEK28828,2009,Other,5
ARI68873,2012,Other,9
AJK00744,2007,Other,13
AJK01846,2010,Other,5
AJK02537,2008,Other,13
AIU46059,2000,SY97,12
ABB71825,2005,Other,10
AFD64223,2002,FU02,2
AFG72823,2002,FU02,2
AIU46065,2002,FU02,2
AFM72312,2003,FU02,2
BAT21816,2012,Other,9
BAT21796,2012,Other,9
BAT21797,2012,Other,9
BAT21783,2012,Other,9
BAT21810,2012,Other,9
BAT21823,2012,Other,9
BAT21811,2012,Other,9
AIU46074,2002,FU02,2
BAT21765,2013,Other,0
BAT21767,2013,Other,0
BAT21768,2013,Other,0
BAT21779,2013,Other,0
BAT21740,2013,Other,0
BAT21766,2013,Other,0
BAT21770,2013,Other,0
BAT21750,2013,Other,0
BAT21762,2013,Other,0
BAV13643,2014,Other,0
BAU36358,2013,Other,0
BAU36344,2014,Other,0
BAU36345,2014,Other,0
BAV13647,2015,Other,6
BAV13656,2015,Other,6
BAV13658,2015,Other,6
BAV13667,2015,Other,6
BAV13668,2015,Other,6
BAV13638,2014,Other,0
BAV13669,2015,Other,6
BAV13670,2015,Other,6
BAU36366,2014,Other,0
BAV13639,2014,Other,0
BAV13640,2014,Other,0
BAV13641,2014,Other,0
BAU36357,2013,Other,0
BAT21826,2011,Other,9
BAT21825,2012,Other,9
AGN69456,2012,Other,9
ARC52968,2016,Other,6
AJK03077,2010,Other,5
AJK01646,2007,Other,13
AFH00439,1996,WU95,7
AFG72118,1989,BE89,1
AFG99523,1991,BE89,7
AFH00384,1995,WU95,7
ACN32534,2003,FU02,2
ACD47227,2008,Other,13
AGK74353,2011,Other,9
ALH33686,2015,Other,6
ARD25833,2017,Other,8
QCG84397,2019,Other,3
ACA33695,2007,Other,13
AGF68845,2009,Other,5
ALH33679,2015,Other,6
ACA33686,2007,Other,13
ALH33159,2015,Other,6
ARS00089,2017,Other,8
ARS00101,2017,Other,8
QDX12249,2019,Other,3
QDX12261,2019,Other,3
ATP80089,2017,Other,8
AYN08047,2018,Other,8
ATP80053,2017,Other,8
AGZ60563,2012,Other,9
QDX12309,2019,Other,3
AGK73855,2010,Other,5
ALH30181,2014,Other,0
AGK73869,2010,Other,5
ALH30168,2014,Other,0
AGK73910,2010,Other,5
AXF93170,2017,Other,8
QDE06804,2019,Other,3
QDQ44425,2019,Other,3
AOT88823,2016,Other,6
AJK02927,2010,Other,5
ALH31879,2014,Other,0
AOT88835,2016,Other,6
QBS20079,2018,Other,8
QBS21137,2018,Other,8
ANM97197,2016,Other,6
ALH32767,2014,Other,0
QCG83729,2018,Other,8
QBP38436,2018,Other,8
AIT16769,2014,Other,0
ALA08511,2014,Other,0
ALA08518,2014,Other,0
ALA08520,2014,Other,0
ALA08522,2014,Other,0
ALA08523,2014,Other,0
ALA08524,2014,Other,0
ALA08531,2014,Other,0
QBP38460,2018,Other,8
ALA08597,2014,Other,0
ALA08598,2014,Other,0
ALA08600,2014,Other,0
ALA08602,2014,Other,0
ALA08604,2014,Other,0
ALE31648,2014,Other,0
ALE31651,2014,Other,0
ALE31652,2014,Other,0
ALE31656,2015,Other,6
QIJ25939,2019,Other,3
ALE31804,2015,Other,6
ALE31900,2015,Other,6
ALE31902,2015,Other,6
ALE32014,2015,Other,6
AIT16770,2014,Other,0
AOT89279,2016,Other,6
AIT16773,2014,Other,0
ATD10929,2017,Other,8
AOT89207,2016,Other,6
AKS48004,2015,Other,6
ATD11097,2017,Other,8
ATD11098,2017,Other,8
ATD11144,2017,Other,8
ATD11145,2017,Other,8
ATD11271,2017,Other,8
AQI12950,2016,Other,6
AQI12962,2016,Other,6
AXP19290,2018,Other,8
QBS18418,2019,Other,3
QBX92141,2019,Other,3
QBZ79379,2019,Other,3
QCH42176,2019,Other,3
QCP66935,2019,Other,3
QDK57519,2019,Other,3
QCT08608,2019,Other,3
AEG64856,1999,SY97,12
AEG65164,2002,FU02,2
AEI54358,2003,FU02,2
AEG64977,2004,Other,10
AEG65186,2005,Other,10
AID57898,2013,Other,0
AZY87038,2018,Other,8
QAB03197,2018,Other,8
QAB03199,2018,Other,8
QAB03207,2018,Other,8
QAB04152,2018,Other,8
QBA98527,2018,Other,8
QBA98609,2018,Other,8
QBA98632,2018,Other,8
QBA98136,2018,Other,8
QCP66947,2019,Other,3
QCP66959,2019,Other,3
QCP66406,2019,Other,3
QCQ18410,2019,Other,3
QCQ18416,2019,Other,3
QDK57672,2019,Other,3
QCT08111,2019,Other,3
QCT08632,2019,Other,3
QCT08692,2019,Other,3
QDC20015,2019,Other,3
QDC19548,2019,Other,3
QDC19551,2019,Other,3
QDC19555,2019,Other,3
QDD56744,2019,Other,3
QDD56756,2019,Other,3
QDD56768,2019,Other,3
QDD56791,2019,Other,3
AGK63031,2012,Other,9
AGK63033,2012,Other,9
APO40385,2016,Other,6
AGK62995,2012,Other,9
BAT21784,2011,Other,9
BAT21773,2013,Other,0
BAT21772,2013,Other,0
BAT21755,2013,Other,0
BAV13659,2015,Other,6
BAU36364,2014,Other,0
BAU36349,2014,Other,0
BAV13672,2015,Other,6
QDP69554,2017,Other,8
AGB97288,2012,Other,9
AGL09754,2012,Other,9
AGQ16346,2013,Other,0
AHV83953,2013,Other,0
ALA08480,2014,Other,0
ALA08488,2014,Other,0
QAB04154,2018,Other,8
QBA98769,2018,Other,8
QBM12560,2018,Other,8
QBH70355,2019,Other,3
QBH71231,2019,Other,3
QCH42200,2019,Other,3
AEK28938,2009,Other,5
AEK28982,2009,Other,5
ABC67565,1972,EN72,11
AJK03575,2009,Other,5
AEK98374,2007,Other,13
ACH69569,2005,Other,10
ACH69558,2005,Other,10
AIJ29349,2012,Other,9
AEK98376,2009,Other,5
ARX97105,2013,Other,0
AIJ29351,2012,Other,9
AEK98378,2007,Other,13
AIJ29355,2011,Other,9
AIJ29359,2011,Other,9
AFH00087,1993,BE92,7
ARV89925,2016,Other,6
AEK98382,2007,Other,13
AEK98386,2010,Other,5
ARX97106,2013,Other,0
ARX97107,2013,Other,0
AEK98390,2010,Other,5
AEK98392,2010,Other,5
AEK98396,2009,Other,5
ARX97109,2013,Other,0
AEK98398,2009,Other,5
AEK98400,2008,Other,13
ARV89911,2015,Other,6
AEK98402,2009,Other,5
AEK98404,2008,Other,13
ARV89917,2015,Other,6
ARV89905,2014,Other,0
ARV89906,2014,Other,0
ARV89920,2015,Other,6
ARV89921,2015,Other,6
ARV89922,2015,Other,6
ARV89908,2014,Other,0
ARV89907,2014,Other,0
ARV89910,2015,Other,6
ARV89909,2014,Other,0
ARV89912,2015,Other,6
ARX97103,2013,Other,0
AIJ29361,2012,Other,9
AHL58830,2008,Other,13
AYP64547,2017,Other,8
AFG99182,1985,BK79,1
BAT21808,2012,Other,9
BAT21747,2012,Other,9
BAT21741,2012,Other,9
BAT21746,2012,Other,9
BAT21745,2013,Other,0
BAV13642,2014,Other,0
BAV13633,2014,Other,0
BAV13630,2014,Other,0
BAV13632,2014,Other,0
AZK15965,2017,Other,8
AQN74165,2016,Other,6
AEX36333,2007,Other,13
AEX35219,2001,SY97,2
AEX35329,2004,Other,10
AEX33453,2003,FU02,2
AEX33957,2007,Other,13
AEX35615,2007,Other,13
AEX35637,2007,Other,13
AEX35428,2004,Other,10
AEX35340,2004,Other,10
AEX33968,2007,Other,13
AEX33979,2007,Other,13
AEX36102,2007,Other,13
AEX33990,2007,Other,13
AEX33541,2004,Other,10
AEX33574,2004,Other,10
AEX35384,2004,Other,10
AEX35307,2003,FU02,2
AEX34055,2007,Other,13
AEX34066,2007,Other,13
AEX34089,2007,Other,13
AEX36234,2007,Other,13
AEX36245,2007,Other,13
AEX36256,2007,Other,13
AEX34100,2007,Other,13
AEX36278,2007,Other,13
AEX36300,2007,Other,13
AEX36311,2007,Other,13
AEX34134,2007,Other,13
AEX36322,2007,Other,13
AEX36344,2007,Other,13
AEX34156,2007,Other,13
AEX36355,2007,Other,13
AEX36366,2007,Other,13
AEX36388,2007,Other,13
AEX36399,2007,Other,13
AEX36410,2007,Other,13
AEX34210,2007,Other,13
AEX36476,2007,Other,13
AEX34221,2007,Other,13
AEX34232,2007,Other,13
AIJ10729,2010,Other,5
AIJ10732,2010,Other,5
AIJ10733,2010,Other,5
AIJ10734,2010,Other,5
AIJ10735,2010,Other,5
AIJ10739,2012,Other,9
AIJ10742,2012,Other,9
AIJ10755,2013,Other,0
AIJ10757,2013,Other,0
AIJ10748,2012,Other,9
AIJ10750,2012,Other,9
AIJ10760,2013,Other,0
AIJ10761,2013,Other,0
AIJ10769,2013,Other,0
AIJ10774,2013,Other,0
AIJ10775,2013,Other,0
AIJ10776,2013,Other,0
AIJ10780,2013,Other,0
AIJ10787,2013,Other,0
AIJ10736,2012,Other,9
AIJ10738,2012,Other,9
AIJ10743,2012,Other,9
AIJ10753,2013,Other,0
AIJ10768,2013,Other,0
AIJ10792,2013,Other,0
AIJ10737,2012,Other,9
AIU46089,2008,Other,13
AIU46090,2008,Other,13
AIU46092,2009,Other,5
AIU46097,2010,Other,5
AEX35395,2004,Other,10
AIU46099,2010,Other,5
AFM72142,1992,BE92,7
AHD25317,2013,Other,0
AHD25309,2012,Other,9
ASK81113,2017,Other,8
AGL07168,2012,Other,9
AGZ60815,2013,Other,0
AIE09730,2014,Other,0
AQW37093,2017,Other,8
ACD85620,2008,Other,13
ANM98139,2016,Other,6
AGK74518,2011,Other,9
ACT67793,2009,Other,5
ABU50557,2006,Other,13
ACT67781,2009,Other,5
ALH35750,2015,Other,6
AGL06418,2011,Other,9
ARD26567,2017,Other,8
ACT67787,2009,Other,5
AQI21350,2016,Other,6
AQW37081,2016,Other,6
ARD26579,2017,Other,8
ACA33684,2007,Other,13
ALH35408,2015,Other,6
APB91206,2015,Other,6
ACA33700,2007,Other,13
ANN00179,2016,Other,6
AXY84437,2018,Other,8
AGK73824,2010,Other,5
ALH35434,2015,Other,6
ARO43991,2017,Other,8
APB91214,2015,Other,6
ASU07091,2017,Other,8
AGK73976,2010,Other,5
ASB16261,2017,Other,8
AXY84461,2018,Other,8
APB89700,2015,Other,6
ANN00947,2016,Other,6
ASK81762,2017,Other,8
QJX57784,2020,Other,3
AGL06095,2012,Other,9
AGL07410,2012,Other,9
AGL06913,2012,Other,9
QDX12429,2019,Other,3
AGZ60972,2012,Other,9
AGZ60975,2012,Other,9
AGZ61481,2012,Other,9
AGZ61288,2012,Other,9
QED95226,2019,Other,3
AGF68770,2009,Other,5
APB90838,2015,Other,6
APB90522,2015,Other,6
ALH36797,2015,Other,6
ANN02505,2016,Other,6
QDQ44444,2019,Other,3
AHE37988,2013,Other,0
AKC43711,2014,Other,0
AXB51815,2018,Other,8
QEN97182,2019,Other,3
AKC43759,2014,Other,0
QDQ44468,2019,Other,3
QEN97197,2019,Other,3
APB89476,2015,Other,6
ATD52118,2017,Other,8
AXL27853,2018,Other,8
QEN97221,2019,Other,3
AKC43639,2014,Other,0
AWX42102,2017,Other,8
AXQ12635,2018,Other,8
AYG77485,2018,Other,8
AKC43651,2014,Other,0
AXY84492,2018,Other,8
ALE32019,2015,Other,6
ALE32024,2015,Other,6
ACM51243,2008,Other,13
AYN08071,2018,Other,8
ALN39673,2015,Other,6
AZK12222,2018,Other,8
ATX61480,2017,Other,8
QFZ88495,2019,Other,3
ATX61492,2017,Other,8
AZK12005,2018,Other,8
AYW00241,2018,Other,8
AOT89171,2016,Other,6
AUH30679,2017,Other,8
AUM85446,2017,Other,8
AOT88919,2016,Other,6
AOT89699,2016,Other,6
ATD11102,2017,Other,8
ATD11104,2017,Other,8
ATD11105,2017,Other,8
ATD11108,2017,Other,8
AZL96868,2018,Other,8
ATD11276,2017,Other,8
AOT88967,2016,Other,6
AZS63666,2018,Other,8
ALH33024,2014,Other,0
AMB69632,2015,Other,6
QGW43907,2019,Other,3
AOZ81775,2016,Other,6
AMB69667,2015,Other,6
AMB70792,2015,Other,6
AZY87040,2018,Other,8
AZY87043,2018,Other,8
AMB71097,2015,Other,6
AMB71153,2015,Other,6
APC59094,2016,Other,6
QBL91511,2018,Other,8
QHA78716,2019,Other,3
QBA98781,2018,Other,8
APC59166,2016,Other,6
APC59130,2016,Other,6
ANM97647,2015,Other,6
QBS21173,2018,Other,8
APH10961,2016,Other,6
QIA55283,2019,Other,3
APW81237,2016,Other,6
AJK02499,2010,Other,5
AJK01983,2007,Other,13
AJK01109,2011,Other,9
AJK01439,2011,Other,9
AJK00532,2010,Other,5
AJK02445,2011,Other,9
AJK03108,2010,Other,5
AJK02571,2011,Other,9
AJK03048,2009,Other,5
AHA98531,2013,Other,0
AHA98509,2013,Other,0
AHA98498,2013,Other,0
AHA98464,2013,Other,0
AHA98453,2013,Other,0
AHA98442,2013,Other,0
AHA98430,2013,Other,0
ABX79354,2005,Other,10
AID70458,2010,Other,5
AID70459,2010,Other,5
AID70460,2010,Other,5
AID70461,2010,Other,5
AID70462,2010,Other,5
AID70463,2010,Other,5
AID70465,2010,Other,5
AID70466,2010,Other,5
AID70467,2010,Other,5
AID70468,2010,Other,5
AID70469,2010,Other,5
AID70470,2010,Other,5
AID70471,2010,Other,5
AID70472,2010,Other,5
AID70473,2010,Other,5
AID70474,2010,Other,5
AID70475,2010,Other,5
AID70476,2010,Other,5
AID70477,2010,Other,5
AID70478,2010,Other,5
AEX34012,2007,Other,13
BAQ58299,2014,Other,0
BAV13628,2014,Other,0
BAU36337,2014,Other,0
QID02501,2018,Other,8
QID02503,2018,Other,8
QID02509,2019,Other,3
QID02524,2019,Other,3
QID02525,2019,Other,3
QEP99693,2012,Other,9
ACI25746,1968,HK68,11
ACI25757,1968,HK68,11
ACI25768,1968,HK68,11
ACI25779,1968,HK68,11
ACI25790,1968,HK68,11
ACF22309,1968,HK68,11
ACF22331,1968,HK68,11
ACI25801,1968,HK68,11
ACF22353,1968,HK68,11
ACF22375,1968,HK68,11
ACF22386,1968,HK68,11
ACF22397,1968,HK68,11
AFG72129,1989,BE89,1
AFG72515,1994,BE92,7
AFG72691,1997,SY97,12
AJK03408,2008,Other,13
AFG71942,1971,HK68,11
ABB04338,1973,EN72,11
AAK63817,1999,SY97,12
AAK63818,1999,SY97,12
AAK62040,1999,SY97,12
AAK63819,1999,SY97,12
AAK63821,1999,SY97,12
AAK63822,1999,SY97,12
AAK62042,1999,SY97,12
ABB04294,1974,EN72,4
ABB79788,1983,BK79,1
ABB04906,1992,BE92,7
ALM05999,2011,Other,9
AJK01737,2008,Other,13
AJK01628,2008,Other,13
AJK03390,2008,Other,13
AJK02219,2010,Other,5
AJK02926,2010,Other,5
AJK01228,2008,Other,13
AJK02624,2008,Other,13
ABB04316,1988,SI87,1
AFG72526,1994,BE92,7
AFH00450,1996,WU95,7
AJK01595,2009,Other,5
AJK01690,2010,Other,5
AJK02833,2008,Other,13
ABB04327,1985,BK79,1
AJK01174,2007,Other,13
ABB04917,1983,BK79,1
AJK01618,2009,Other,5
ABB80034,1969,HK68,11
AFH00395,1995,WU95,7
AJK03088,2008,Other,13
AJK02627,2008,Other,13
AJK00663,2010,Other,5
AJK02951,2010,Other,5
ABD60790,1973,EN72,11
AJK02141,2009,Other,5
AJK01988,2009,Other,5
AFH00472,1996,WU95,7
AJK00631,2010,Other,5
AFH00483,1996,WU95,7
AJK02773,2010,Other,5
AFG72603,1995,WU95,7
AJK03469,2008,Other,13
AJK03389,2008,Other,13
ABB79799,1984,BK79,1
AFH00461,1996,WU95,7
ABB04928,1975,VI75,4
AFH00494,1996,WU95,7
AJK01671,2009,Other,5
ABB82227,1971,HK68,11
ABB04283,1980,BK79,4
ABC40619,1974,EN72,4
AFH00406,1995,WU95,7
ABB04939,1983,BK79,1
ABB80023,1972,EN72,11
AFG72614,1995,WU95,7
AFH00329,1994,BE92,7
ABB04371,1972,EN72,11
ABB04305,1985,BK79,1
ABQ97200,1968,HK68,11
AJK02727,2010,Other,5
AJK03581,2010,Other,5
AJK01277,2010,Other,5
ABB04950,1984,BK79,1
ABB04349,1985,BK79,1
ABB04360,1987,SI87,1
ACA96510,2004,Other,10
ACF36183,1999,SY97,12
ACF36184,1998,SY97,12
ACF36186,1998,SY97,12
ACF36187,2005,Other,10
ACF36189,1998,SY97,12
ACF36191,1998,SY97,12
ACF36192,1998,SY97,12
ACF36198,1999,SY97,12
ACF36201,1999,SY97,12
ACF36204,1997,SY97,12
ACF36205,1999,SY97,12
ACF36206,2005,Other,10
ACF36208,2005,Other,10
ACF36210,1997,SY97,12
ACF36215,1997,SY97,12
ACF36216,1999,SY97,12
ACF36218,2001,SY97,2
ACF36219,2004,Other,10
ACF36220,2001,SY97,2
ACF36222,2002,FU02,2
ACF36223,2002,FU02,2
ACF36224,2003,FU02,2
ACF36225,2003,FU02,2
ACF36226,2003,FU02,2
ACF36227,2003,FU02,2
ACF36228,2001,SY97,2
ACF36230,2001,SY97,2
ACF36231,1999,SY97,12
ACF36232,1999,SY97,12
ACF36233,1999,SY97,12
ACF36236,1998,SY97,12
ACF36237,1998,SY97,12
ACF36238,1998,SY97,12
ACF36240,1998,SY97,12
ACF36242,1998,SY97,12
ACF36243,1998,SY97,12
ACF36244,1998,SY97,12
ACF36245,1998,SY97,12
ACF36247,1998,SY97,12
ACF36248,1998,SY97,12
ACF36249,1998,SY97,12
ACF36250,1998,SY97,12
ACF36251,1998,SY97,12
ACF36252,1998,SY97,12
ACF36254,2000,SY97,12
ACF36256,1997,SY97,12
ACF36258,1997,SY97,12
ACF36260,1997,SY97,12
ACF36262,2000,SY97,12
ACF36263,2000,SY97,12
ACF36265,1997,SY97,12
ACF36266,1997,SY97,12
ACF36267,1997,SY97,12
ACF36271,2004,Other,10
ACF36272,2001,SY97,2
ACF36274,2004,Other,10
ACF36278,2002,FU02,2
ACF36281,2002,FU02,2
ACF36283,2001,SY97,2
ACF36284,2002,FU02,2
ACF36286,1997,SY97,12
ACF36287,2000,SY97,12
ACF36288,2000,SY97,12
ACF36289,2000,SY97,12
ACF36290,2000,SY97,12
ACF36293,2004,Other,10
ACF36294,2004,Other,10
ACF36295,2001,SY97,2
ACF36296,1997,SY97,12
ACF36299,2002,FU02,2
ACF36300,2002,FU02,2
ACF36301,2002,FU02,2
ACF36303,2002,FU02,2
ACF36305,2002,FU02,2
ACF36307,2004,Other,10
ACF36310,2001,SY97,2
ACF36311,2001,SY97,2
ACF36313,2001,SY97,2
ACF36315,2001,SY97,2
ACF36318,2000,SY97,12
ACF36322,2000,SY97,12
ACF36325,2000,SY97,12
ACF36330,1999,SY97,12
ACF36333,1999,SY97,12
ACF36334,1999,SY97,12
ACF36337,1999,SY97,12
AGC13545,2011,Other,9
ACF36338,1999,SY97,12
ACF36339,2002,FU02,2
ACF36340,2002,FU02,2
ACF36341,2002,FU02,2
ACF36343,2001,SY97,2
ACF36344,2001,SY97,2
ACF36345,2001,SY97,2
ACF36346,2001,SY97,2
ACF36347,2004,Other,10
ACF36349,2004,Other,10
