Accession,Year,Subtype,Host,cluster_name,antigenic_distance,drift_binary_label
ACN32804,2007,H1N1,Human,pre-pandemic,0,0
AGQ47764,1947,H1N1,Human,pre-pandemic,0,0
ACV49567,1947,H1N1,Human,pre-pandemic,0,0
ABD77807,1947,H1N1,Human,pre-pandemic,0,0
ABD61735,1950,H1N1,Human,pre-pandemic,0,0
AOG30048,2011,H1N1,Human,pandemic-founding,1,0
AOG29900,2009,H1N1,Human,pandemic-founding,1,0
AOG29905,2009,H1N1,Human,pandemic-founding,1,0
AOG29891,2011,H1N1,Human,pandemic-founding,1,0
AOG29887,2009,H1N1,Human,pandemic-founding,1,0
AOG29913,2010,H1N1,Human,pandemic-founding,1,0
AOG30047,2011,H1N1,Human,pandemic-founding,1,0
ADL32454,2009,H1N1,Human,pandemic-founding,1,0
ADM31488,2009,H1N1,Human,pandemic-founding,1,0
ADM14718,2009,H1N1,Human,pandemic-founding,1,0
ADM14728,2009,H1N1,Human,pandemic-founding,1,0
ADM14737,2009,H1N1,Human,pandemic-founding,1,0
AIW63617,2013,H1N1,Human,early-drift,2,1
AIW63618,2013,H1N1,Human,early-drift,2,1
AIW63569,2009,H1N1,Human,pandemic-founding,1,0
AIW63570,2009,H1N1,Human,pandemic-founding,1,0
AIW63606,2012,H1N1,Human,early-drift,2,1
AIW63589,2010,H1N1,Human,pandemic-founding,1,0
AIW63592,2010,H1N1,Human,pandemic-founding,1,0
AIW63571,2009,H1N1,Human,pandemic-founding,1,0
AIW63619,2013,H1N1,Human,early-drift,2,1
AIW63572,2009,H1N1,Human,pandemic-founding,1,0
AIW63620,2013,H1N1,Human,early-drift,2,1
AIW63573,2009,H1N1,Human,pandemic-founding,1,0
AIW63575,2009,H1N1,Human,pandemic-founding,1,0
AIW63576,2009,H1N1,Human,pandemic-founding,1,0
AIW63577,2009,H1N1,Human,pandemic-founding,1,0
AIW63603,2011,H1N1,Human,pandemic-founding,1,0
AIW63581,2010,H1N1,Human,pandemic-founding,1,0
AIW63579,2009,H1N1,Human,pandemic-founding,1,0
AIW63582,2010,H1N1,Human,pandemic-founding,1,0
AIW63616,2013,H1N1,Human,early-drift,2,1
AIW63583,2010,H1N1,Human,pandemic-founding,1,0
AIW63584,2010,H1N1,Human,pandemic-founding,1,0
AIW63591,2010,H1N1,Human,pandemic-founding,1,0
AIW63585,2010,H1N1,Human,pandemic-founding,1,0
AIW63586,2010,H1N1,Human,pandemic-founding,1,0
AIW63609,2013,H1N1,Human,early-drift,2,1
AIW63580,2010,H1N1,Human,pandemic-founding,1,0
AIW63597,2011,H1N1,Human,pandemic-founding,1,0
AIW63607,2012,H1N1,Human,early-drift,2,1
AIW63657,2013,H1N1,Human,early-drift,2,1
AJK01519,2009,H1N1,Human,pandemic-founding,1,0
AFQ90525,2000,H1N1,Human,pre-pandemic,0,0
AJK03348,2006,H1N1,Human,pre-pandemic,0,0
ACM17297,2006,H1N1,Human,pre-pandemic,0,0
AEA48985,2010,H1N1,Human,pandemic-founding,1,0
AMB72349,2015,H1N1,Human,immune-escape,3,1
AHX38144,2014,H1N1,Human,early-drift,2,1
AHX38145,2014,H1N1,Human,early-drift,2,1
AHX38123,2014,H1N1,Human,early-drift,2,1
AHX38146,2014,H1N1,Human,early-drift,2,1
AHX38147,2014,H1N1,Human,early-drift,2,1
AHX38113,2013,H1N1,Human,early-drift,2,1
ADF80462,2009,H1N1,Human,pandemic-founding,1,0
AFF57128,2010,H1N1,Human,pandemic-founding,1,0
AQN74130,2016,H1N1,Human,immune-escape,3,1
AJK02545,2008,H1N1,Human,pre-pandemic,0,0
ANC28275,2015,H1N1,Human,immune-escape,3,1
ADO84715,2009,H1N1,Human,pandemic-founding,1,0
ACR38825,2009,H1N1,Human,pandemic-founding,1,0
AIM39716,2014,H1N1,Human,early-drift,2,1
AGI52984,2010,H1N1,Human,pandemic-founding,1,0
ANE28680,2016,H1N1,Human,immune-escape,3,1
AGI53156,2010,H1N1,Human,pandemic-founding,1,0
AIM39402,2013,H1N1,Human,early-drift,2,1
AGI54081,2010,H1N1,Human,pandemic-founding,1,0
AGL04706,2012,H1N1,Human,early-drift,2,1
AGL04758,2012,H1N1,Human,early-drift,2,1
APC58256,2016,H1N1,Human,immune-escape,3,1
ANM90568,2016,H1N1,Human,immune-escape,3,1
ANM90579,2016,H1N1,Human,immune-escape,3,1
ANM90590,2016,H1N1,Human,immune-escape,3,1
ANM90612,2016,H1N1,Human,immune-escape,3,1
AIM39550,2013,H1N1,Human,early-drift,2,1
AIM39581,2013,H1N1,Human,early-drift,2,1
AGI54643,2009,H1N1,Human,pandemic-founding,1,0
AOZ85922,2016,H1N1,Human,immune-escape,3,1
AOZ85930,2016,H1N1,Human,immune-escape,3,1
AHG96339,2013,H1N1,Human,early-drift,2,1
AHV83814,2013,H1N1,Human,early-drift,2,1
AIC73754,2014,H1N1,Human,early-drift,2,1
ANM91855,2016,H1N1,Human,immune-escape,3,1
AOT93107,2016,H1N1,Human,immune-escape,3,1
APF45883,2016,H1N1,Human,immune-escape,3,1
APC58289,2016,H1N1,Human,immune-escape,3,1
APG55952,2016,H1N1,Human,immune-escape,3,1
APG55954,2016,H1N1,Human,immune-escape,3,1
AGU93042,2012,H1N1,Human,early-drift,2,1
AGU92634,2012,H1N1,Human,early-drift,2,1
AGU92678,2012,H1N1,Human,early-drift,2,1
AGU92667,2012,H1N1,Human,early-drift,2,1
AGU92964,2012,H1N1,Human,early-drift,2,1
AGU92975,2012,H1N1,Human,early-drift,2,1
AGU92689,2012,H1N1,Human,early-drift,2,1
AGU92766,2012,H1N1,Human,early-drift,2,1
AGU92821,2012,H1N1,Human,early-drift,2,1
AGU92799,2012,H1N1,Human,early-drift,2,1
AGU92788,2012,H1N1,Human,early-drift,2,1
AGU92777,2012,H1N1,Human,early-drift,2,1
AHB73529,2013,H1N1,Human,early-drift,2,1
AHN19516,2013,H1N1,Human,early-drift,2,1
AHN19480,2013,H1N1,Human,early-drift,2,1
ANW83141,2016,H1N1,Human,immune-escape,3,1
ADF58349,2009,H1N1,Human,pandemic-founding,1,0
AHH25254,2012,H1N1,Human,early-drift,2,1
AHH25264,2009,H1N1,Human,pandemic-founding,1,0
AHH25237,2010,H1N1,Human,pandemic-founding,1,0
AHH25287,2010,H1N1,Human,pandemic-founding,1,0
AHH25304,2010,H1N1,Human,pandemic-founding,1,0
AHH25277,2010,H1N1,Human,pandemic-founding,1,0
AHH25307,2010,H1N1,Human,pandemic-founding,1,0
AHH25268,2010,H1N1,Human,pandemic-founding,1,0
AHH25292,2010,H1N1,Human,pandemic-founding,1,0
AHH25281,2010,H1N1,Human,pandemic-founding,1,0
AHH25252,2010,H1N1,Human,pandemic-founding,1,0
AHH25291,2010,H1N1,Human,pandemic-founding,1,0
AHH25271,2012,H1N1,Human,early-drift,2,1
AHH25255,2009,H1N1,Human,pandemic-founding,1,0
AHH25286,2010,H1N1,Human,pandemic-founding,1,0
AHH25240,2010,H1N1,Human,pandemic-founding,1,0
AHH25294,2010,H1N1,Human,pandemic-founding,1,0
AHH25302,2009,H1N1,Human,pandemic-founding,1,0
AHH25259,2009,H1N1,Human,pandemic-founding,1,0
AHH25223,2010,H1N1,Human,pandemic-founding,1,0
ADG21125,2009,H1N1,Human,pandemic-founding,1,0
APO40381,2015,H1N1,Human,immune-escape,3,1
APO40378,2015,H1N1,Human,immune-escape,3,1
ADG23224,2006,H1N1,Human,pre-pandemic,0,0
APO40365,2014,H1N1,Human,early-drift,2,1
APO40379,2014,H1N1,Human,early-drift,2,1
ACX31933,2009,H1N1,Human,pandemic-founding,1,0
AGC96164,2011,H1N1,Human,pandemic-founding,1,0
AJE62447,2009,H1N1,Human,pandemic-founding,1,0
AJE62468,2010,H1N1,Human,pandemic-founding,1,0
AJE62475,2010,H1N1,Human,pandemic-founding,1,0
AJE62476,2010,H1N1,Human,pandemic-founding,1,0
AJE62488,2011,H1N1,Human,pandemic-founding,1,0
ADJ80241,2010,H1N1,Human,pandemic-founding,1,0
AGB08296,2012,H1N1,Human,early-drift,2,1
ADQ28034,2009,H1N1,Human,pandemic-founding,1,0
ADQ28035,2009,H1N1,Human,pandemic-founding,1,0
ADX96737,2009,H1N1,Human,pandemic-founding,1,0
AGQ16246,2013,H1N1,Human,early-drift,2,1
AIC73758,2014,H1N1,Human,early-drift,2,1
ADL29702,2009,H1N1,Human,pandemic-founding,1,0
ADL29760,2009,H1N1,Human,pandemic-founding,1,0
ADL29879,2009,H1N1,Human,pandemic-founding,1,0
ADL32017,2009,H1N1,Human,pandemic-founding,1,0
ADL32037,2009,H1N1,Human,pandemic-founding,1,0
ADL32057,2009,H1N1,Human,pandemic-founding,1,0
ADL32364,2009,H1N1,Human,pandemic-founding,1,0
ADL32384,2009,H1N1,Human,pandemic-founding,1,0
ADL32394,2009,H1N1,Human,pandemic-founding,1,0
ADX96527,2009,H1N1,Human,pandemic-founding,1,0
AJK01407,2009,H1N1,Human,pandemic-founding,1,0
AEF28931,2011,H1N1,Human,pandemic-founding,1,0
AEF28933,2011,H1N1,Human,pandemic-founding,1,0
ADL14531,2009,H1N1,Human,pandemic-founding,1,0
AEF28934,2011,H1N1,Human,pandemic-founding,1,0
AEF28935,2011,H1N1,Human,pandemic-founding,1,0
AEF28936,2011,H1N1,Human,pandemic-founding,1,0
AEF28937,2011,H1N1,Human,pandemic-founding,1,0
AEF28939,2011,H1N1,Human,pandemic-founding,1,0
ACR83538,2009,H1N1,Human,pandemic-founding,1,0
AEF28941,2011,H1N1,Human,pandemic-founding,1,0
AEF28943,2011,H1N1,Human,pandemic-founding,1,0
AEF28944,2011,H1N1,Human,pandemic-founding,1,0
AEF28945,2011,H1N1,Human,pandemic-founding,1,0
AEF28946,2011,H1N1,Human,pandemic-founding,1,0
ADK64992,2009,H1N1,Human,pandemic-founding,1,0
AEF28947,2011,H1N1,Human,pandemic-founding,1,0
ADK65001,2009,H1N1,Human,pandemic-founding,1,0
ADK65009,2009,H1N1,Human,pandemic-founding,1,0
ADK65017,2009,H1N1,Human,pandemic-founding,1,0
AFN87924,2011,H1N1,Human,pandemic-founding,1,0
ADI48184,2009,H1N1,Human,pandemic-founding,1,0
ADI48188,2009,H1N1,Human,pandemic-founding,1,0
ADI48190,2009,H1N1,Human,pandemic-founding,1,0
ADI48194,2009,H1N1,Human,pandemic-founding,1,0
AFN87927,2009,H1N1,Human,pandemic-founding,1,0
AFN87928,2009,H1N1,Human,pandemic-founding,1,0
AFN87931,2009,H1N1,Human,pandemic-founding,1,0
AFN87932,2009,H1N1,Human,pandemic-founding,1,0
ADI48196,2009,H1N1,Human,pandemic-founding,1,0
ADI48202,2009,H1N1,Human,pandemic-founding,1,0
ADI48204,2009,H1N1,Human,pandemic-founding,1,0
ADI48206,2009,H1N1,Human,pandemic-founding,1,0
ADI48214,2009,H1N1,Human,pandemic-founding,1,0
AFN87934,2011,H1N1,Human,pandemic-founding,1,0
ADE45499,2009,H1N1,Human,pandemic-founding,1,0
AFN87936,2011,H1N1,Human,pandemic-founding,1,0
ADI48218,2009,H1N1,Human,pandemic-founding,1,0
ADE45503,2009,H1N1,Human,pandemic-founding,1,0
AFN87938,2010,H1N1,Human,pandemic-founding,1,0
AEF28913,2010,H1N1,Human,pandemic-founding,1,0
ADE45513,2009,H1N1,Human,pandemic-founding,1,0
ADE45515,2009,H1N1,Human,pandemic-founding,1,0
ADH96604,2008,H1N1,Human,pre-pandemic,0,0
AEF28915,2010,H1N1,Human,pandemic-founding,1,0
AFN87939,2010,H1N1,Human,pandemic-founding,1,0
AEF28949,2010,H1N1,Human,pandemic-founding,1,0
AFN87941,2010,H1N1,Human,pandemic-founding,1,0
AFN87943,2011,H1N1,Human,pandemic-founding,1,0
AEF28918,2010,H1N1,Human,pandemic-founding,1,0
ADH96612,2008,H1N1,Human,pre-pandemic,0,0
AEF28919,2010,H1N1,Human,pandemic-founding,1,0
AEF28920,2010,H1N1,Human,pandemic-founding,1,0
AFN87945,2010,H1N1,Human,pandemic-founding,1,0
AEF28921,2010,H1N1,Human,pandemic-founding,1,0
AFN87949,2011,H1N1,Human,pandemic-founding,1,0
AEF28924,2010,H1N1,Human,pandemic-founding,1,0
AEF28925,2010,H1N1,Human,pandemic-founding,1,0
AEF28950,2010,H1N1,Human,pandemic-founding,1,0
AEF28926,2010,H1N1,Human,pandemic-founding,1,0
AEF28927,2010,H1N1,Human,pandemic-founding,1,0
ADL14542,2009,H1N1,Human,pandemic-founding,1,0
AFN87955,2011,H1N1,Human,pandemic-founding,1,0
AFN87957,2011,H1N1,Human,pandemic-founding,1,0
AKE37137,2010,H1N1,Human,pandemic-founding,1,0
ADI48220,2009,H1N1,Human,pandemic-founding,1,0
AEX09175,2009,H1N1,Human,pandemic-founding,1,0
AEF28951,2010,H1N1,Human,pandemic-founding,1,0
AFN87959,2011,H1N1,Human,pandemic-founding,1,0
AEF28952,2010,H1N1,Human,pandemic-founding,1,0
AEF28953,2010,H1N1,Human,pandemic-founding,1,0
AEF28954,2010,H1N1,Human,pandemic-founding,1,0
ADI50027,2009,H1N1,Human,pandemic-founding,1,0
ADE62276,2009,H1N1,Human,pandemic-founding,1,0
AEF28911,2011,H1N1,Human,pandemic-founding,1,0
AEF28912,2011,H1N1,Human,pandemic-founding,1,0
ACB32206,2006,H1N1,Human,pre-pandemic,0,0
AJK01696,2006,H1N1,Human,pre-pandemic,0,0
AJK00913,2006,H1N1,Human,pre-pandemic,0,0
ACB32202,2006,H1N1,Human,pre-pandemic,0,0
AJK03044,2006,H1N1,Human,pre-pandemic,0,0
ACB32204,2006,H1N1,Human,pre-pandemic,0,0
ACB32205,2006,H1N1,Human,pre-pandemic,0,0
ADD92535,2009,H1N1,Human,pandemic-founding,1,0
AGE83533,2010,H1N1,Human,pandemic-founding,1,0
ACS36645,2009,H1N1,Human,pandemic-founding,1,0
ACR54047,2009,H1N1,Human,pandemic-founding,1,0
AJK01054,2008,H1N1,Human,pre-pandemic,0,0
BAQ58174,2014,H1N1,Human,early-drift,2,1
BAM34269,2009,H1N1,Human,pandemic-founding,1,0
BAM34279,2009,H1N1,Human,pandemic-founding,1,0
BAM34289,2009,H1N1,Human,pandemic-founding,1,0
BAM34299,2009,H1N1,Human,pandemic-founding,1,0
AJK01901,2007,H1N1,Human,pre-pandemic,0,0
AIZ07387,2014,H1N1,Human,early-drift,2,1
AIZ07391,2014,H1N1,Human,early-drift,2,1
AFQ60437,2010,H1N1,Human,pandemic-founding,1,0
AFF57124,2010,H1N1,Human,pandemic-founding,1,0
AFQ60426,2009,H1N1,Human,pandemic-founding,1,0
AJK01243,2008,H1N1,Human,pre-pandemic,0,0
AEX34473,2001,H1N1,Human,pre-pandemic,0,0
AEX35230,2003,H1N1,Human,pre-pandemic,0,0
AEX34779,2008,H1N1,Human,pre-pandemic,0,0
AEX33420,2003,H1N1,Human,pre-pandemic,0,0
AEX34672,2006,H1N1,Human,pre-pandemic,0,0
AEX34683,2006,H1N1,Human,pre-pandemic,0,0
AEX33913,2006,H1N1,Human,pre-pandemic,0,0
AEX33924,2006,H1N1,Human,pre-pandemic,0,0
AEX35153,2008,H1N1,Human,pre-pandemic,0,0
AEX35164,2008,H1N1,Human,pre-pandemic,0,0
ADB82944,2009,H1N1,Human,pandemic-founding,1,0
ACI32717,2005,H1N1,Human,pre-pandemic,0,0
ADD96946,2009,H1N1,Human,pandemic-founding,1,0
ADG23226,2007,H1N1,Human,pre-pandemic,0,0
AGJ73333,2011,H1N1,Human,pandemic-founding,1,0
ADG23225,2005,H1N1,Human,pre-pandemic,0,0
AEZ01072,2009,H1N1,Human,pandemic-founding,1,0
ADG76648,2009,H1N1,Human,pandemic-founding,1,0
ACX61573,2009,H1N1,Human,pandemic-founding,1,0
ADW26659,2011,H1N1,Human,pandemic-founding,1,0
AEZ01086,2010,H1N1,Human,pandemic-founding,1,0
AEZ01087,2010,H1N1,Human,pandemic-founding,1,0
AEZ01088,2010,H1N1,Human,pandemic-founding,1,0
AEZ01089,2010,H1N1,Human,pandemic-founding,1,0
AEZ01090,2010,H1N1,Human,pandemic-founding,1,0
AEZ01091,2010,H1N1,Human,pandemic-founding,1,0
AEZ01094,2010,H1N1,Human,pandemic-founding,1,0
AEZ01095,2010,H1N1,Human,pandemic-founding,1,0
AEZ01073,2009,H1N1,Human,pandemic-founding,1,0
AEZ01074,2009,H1N1,Human,pandemic-founding,1,0
AEZ01075,2009,H1N1,Human,pandemic-founding,1,0
AEZ01076,2009,H1N1,Human,pandemic-founding,1,0
AEZ01077,2009,H1N1,Human,pandemic-founding,1,0
AEZ01080,2009,H1N1,Human,pandemic-founding,1,0
AEZ01082,2009,H1N1,Human,pandemic-founding,1,0
AEZ01083,2009,H1N1,Human,pandemic-founding,1,0
AEZ01084,2009,H1N1,Human,pandemic-founding,1,0
AEZ01071,2009,H1N1,Human,pandemic-founding,1,0
AEZ01097,2010,H1N1,Human,pandemic-founding,1,0
AEZ01098,2011,H1N1,Human,pandemic-founding,1,0
AEZ01099,2011,H1N1,Human,pandemic-founding,1,0
AEZ01100,2011,H1N1,Human,pandemic-founding,1,0
AEZ01101,2011,H1N1,Human,pandemic-founding,1,0
AEZ01103,2011,H1N1,Human,pandemic-founding,1,0
AEZ01104,2011,H1N1,Human,pandemic-founding,1,0
AEZ01105,2011,H1N1,Human,pandemic-founding,1,0
AEZ01106,2011,H1N1,Human,pandemic-founding,1,0
AEZ01107,2011,H1N1,Human,pandemic-founding,1,0
AEZ01108,2011,H1N1,Human,pandemic-founding,1,0
AEZ01109,2011,H1N1,Human,pandemic-founding,1,0
AEX34650,2005,H1N1,Human,pre-pandemic,0,0
AEX34661,2006,H1N1,Human,pre-pandemic,0,0
AJE62456,2009,H1N1,Human,pandemic-founding,1,0
AJE62469,2010,H1N1,Human,pandemic-founding,1,0
AJE62520,2013,H1N1,Human,early-drift,2,1
AGI54057,2010,H1N1,Human,pandemic-founding,1,0
AGV29165,2013,H1N1,Human,early-drift,2,1
AIM39680,2014,H1N1,Human,early-drift,2,1
ALH26812,2015,H1N1,Human,immune-escape,3,1
ANE27822,2016,H1N1,Human,immune-escape,3,1
ACF10336,2008,H1N1,Human,pre-pandemic,0,0
AGI54322,2010,H1N1,Human,pandemic-founding,1,0
AGI53365,2010,H1N1,Human,pandemic-founding,1,0
ACU44326,2009,H1N1,Human,pandemic-founding,1,0
AGI52734,2010,H1N1,Human,pandemic-founding,1,0
AFV33743,2011,H1N1,Human,pandemic-founding,1,0
AGI52523,2010,H1N1,Human,pandemic-founding,1,0
ARD26522,2017,H1N1,Human,immune-escape,3,1
ALH26729,2015,H1N1,Human,immune-escape,3,1
AGI52614,2010,H1N1,Human,pandemic-founding,1,0
ACA33703,2007,H1N1,Human,pre-pandemic,0,0
AGK73092,2010,H1N1,Human,pandemic-founding,1,0
ACU44382,2009,H1N1,Human,pandemic-founding,1,0
ALH26655,2015,H1N1,Human,immune-escape,3,1
ACA33728,2007,H1N1,Human,pre-pandemic,0,0
ACA33723,2007,H1N1,Human,pre-pandemic,0,0
ACK76369,2008,H1N1,Human,pre-pandemic,0,0
ACU43779,2008,H1N1,Human,pre-pandemic,0,0
ANM92262,2016,H1N1,Human,immune-escape,3,1
ACK76356,2008,H1N1,Human,pre-pandemic,0,0
ALH26766,2015,H1N1,Human,immune-escape,3,1
AGI55346,2009,H1N1,Human,pandemic-founding,1,0
AGI55305,2009,H1N1,Human,pandemic-founding,1,0
ALH26596,2015,H1N1,Human,immune-escape,3,1
ACA33722,2007,H1N1,Human,pre-pandemic,0,0
AOT87635,2016,H1N1,Human,immune-escape,3,1
ACA33783,2007,H1N1,Human,pre-pandemic,0,0
ACB11812,2007,H1N1,Human,pre-pandemic,0,0
ACA33776,2007,H1N1,Human,pre-pandemic,0,0
ACF40114,2007,H1N1,Human,pre-pandemic,0,0
ACU31262,2008,H1N1,Human,pre-pandemic,0,0
ACU31259,2008,H1N1,Human,pre-pandemic,0,0
ACD47246,2007,H1N1,Human,pre-pandemic,0,0
ACD85753,2007,H1N1,Human,pre-pandemic,0,0
AMA11264,2015,H1N1,Human,immune-escape,3,1
AMA11399,2015,H1N1,Human,immune-escape,3,1
ALH26634,2014,H1N1,Human,early-drift,2,1
ALH26601,2014,H1N1,Human,early-drift,2,1
APC58311,2016,H1N1,Human,immune-escape,3,1
AMA11486,2015,H1N1,Human,immune-escape,3,1
AOZ81556,2016,H1N1,Human,immune-escape,3,1
ANE27811,2015,H1N1,Human,immune-escape,3,1
APH11052,2016,H1N1,Human,immune-escape,3,1
AHM98482,2011,H1N1,Human,pandemic-founding,1,0
AJK03518,2008,H1N1,Human,pre-pandemic,0,0
AJK02062,2008,H1N1,Human,pre-pandemic,0,0
AJK01925,2007,H1N1,Human,pre-pandemic,0,0
AGV74483,2013,H1N1,Human,early-drift,2,1
AIP93055,2013,H1N1,Human,early-drift,2,1
AIP93044,2013,H1N1,Human,early-drift,2,1
AIP93033,2013,H1N1,Human,early-drift,2,1
AIP93011,2014,H1N1,Human,early-drift,2,1
AIP93000,2013,H1N1,Human,early-drift,2,1
AIP92989,2013,H1N1,Human,early-drift,2,1
AGV74428,2011,H1N1,Human,pandemic-founding,1,0
AIP92967,2013,H1N1,Human,early-drift,2,1
AIP92956,2013,H1N1,Human,early-drift,2,1
AIP92945,2013,H1N1,Human,early-drift,2,1
AIP92934,2013,H1N1,Human,early-drift,2,1
AIP92923,2013,H1N1,Human,early-drift,2,1
AGV75671,2013,H1N1,Human,early-drift,2,1
AIP92901,2013,H1N1,Human,early-drift,2,1
AGV75660,2013,H1N1,Human,early-drift,2,1
AGV75649,2013,H1N1,Human,early-drift,2,1
AIP92879,2013,H1N1,Human,early-drift,2,1
AIP92868,2013,H1N1,Human,early-drift,2,1
AIP92824,2013,H1N1,Human,early-drift,2,1
AGV75638,2013,H1N1,Human,early-drift,2,1
AGV75627,2013,H1N1,Human,early-drift,2,1
AIP92802,2014,H1N1,Human,early-drift,2,1
AIP92791,2013,H1N1,Human,early-drift,2,1
AIP92780,2013,H1N1,Human,early-drift,2,1
AGV74450,2012,H1N1,Human,early-drift,2,1
AGV75605,2013,H1N1,Human,early-drift,2,1
AII19077,2014,H1N1,Human,early-drift,2,1
AII19066,2014,H1N1,Human,early-drift,2,1
AII19055,2014,H1N1,Human,early-drift,2,1
AIP92747,2012,H1N1,Human,early-drift,2,1
AGV75583,2013,H1N1,Human,early-drift,2,1
AGV75572,2013,H1N1,Human,early-drift,2,1
AII19033,2014,H1N1,Human,early-drift,2,1
AII19022,2014,H1N1,Human,early-drift,2,1
AII19011,2014,H1N1,Human,early-drift,2,1
AII18989,2014,H1N1,Human,early-drift,2,1
AGV75550,2013,H1N1,Human,early-drift,2,1
AGV75539,2013,H1N1,Human,early-drift,2,1
AGV75517,2013,H1N1,Human,early-drift,2,1
AIP92736,2014,H1N1,Human,early-drift,2,1
AIP92725,2014,H1N1,Human,early-drift,2,1
AIP92714,2014,H1N1,Human,early-drift,2,1
AGV75715,2013,H1N1,Human,early-drift,2,1
AGV75396,2013,H1N1,Human,early-drift,2,1
AGV75385,2013,H1N1,Human,early-drift,2,1
AIP92692,2014,H1N1,Human,early-drift,2,1
AGV75352,2013,H1N1,Human,early-drift,2,1
AIP92670,2014,H1N1,Human,early-drift,2,1
AIP92659,2014,H1N1,Human,early-drift,2,1
AGV75330,2013,H1N1,Human,early-drift,2,1
AII18945,2014,H1N1,Human,early-drift,2,1
AGV75308,2013,H1N1,Human,early-drift,2,1
AGV75275,2013,H1N1,Human,early-drift,2,1
AGV75264,2013,H1N1,Human,early-drift,2,1
AGV75253,2013,H1N1,Human,early-drift,2,1
AGV75187,2013,H1N1,Human,early-drift,2,1
AGV75154,2013,H1N1,Human,early-drift,2,1
AIP92637,2014,H1N1,Human,early-drift,2,1
AGV75143,2013,H1N1,Human,early-drift,2,1
AGV75132,2013,H1N1,Human,early-drift,2,1
AGV75121,2013,H1N1,Human,early-drift,2,1
AGV75088,2013,H1N1,Human,early-drift,2,1
AGV75077,2013,H1N1,Human,early-drift,2,1
AGV75066,2013,H1N1,Human,early-drift,2,1
AGV75000,2013,H1N1,Human,early-drift,2,1
AGV74967,2013,H1N1,Human,early-drift,2,1
AGV74945,2013,H1N1,Human,early-drift,2,1
AGV74934,2013,H1N1,Human,early-drift,2,1
AGV74923,2013,H1N1,Human,early-drift,2,1
AGV74912,2013,H1N1,Human,early-drift,2,1
AGV74890,2013,H1N1,Human,early-drift,2,1
AIP92626,2014,H1N1,Human,early-drift,2,1
AIP92615,2014,H1N1,Human,early-drift,2,1
AGV74857,2013,H1N1,Human,early-drift,2,1
AGV74846,2013,H1N1,Human,early-drift,2,1
AIP92581,2014,H1N1,Human,early-drift,2,1
AGV74824,2013,H1N1,Human,early-drift,2,1
AII18901,2014,H1N1,Human,early-drift,2,1
AIP92559,2014,H1N1,Human,early-drift,2,1
AIP92548,2014,H1N1,Human,early-drift,2,1
AIP92526,2014,H1N1,Human,early-drift,2,1
AGV74714,2013,H1N1,Human,early-drift,2,1
AGV74703,2013,H1N1,Human,early-drift,2,1
AGV74681,2013,H1N1,Human,early-drift,2,1
AGV74670,2013,H1N1,Human,early-drift,2,1
AGV74659,2013,H1N1,Human,early-drift,2,1
AGV74615,2013,H1N1,Human,early-drift,2,1
AIP92482,2014,H1N1,Human,early-drift,2,1
AGV74582,2013,H1N1,Human,early-drift,2,1
AGV74560,2013,H1N1,Human,early-drift,2,1
AGV74538,2013,H1N1,Human,early-drift,2,1
AGV74527,2013,H1N1,Human,early-drift,2,1
AEW46943,2009,H1N1,Human,pandemic-founding,1,0
AEW46923,2009,H1N1,Human,pandemic-founding,1,0
AEZ01113,2009,H1N1,Human,pandemic-founding,1,0
AEZ01133,2009,H1N1,Human,pandemic-founding,1,0
AJK01497,2010,H1N1,Human,pandemic-founding,1,0
ADD52537,2010,H1N1,Human,pandemic-founding,1,0
ABO38351,1936,H1N1,Human,pre-pandemic,0,0
ACI32718,2005,H1N1,Human,pre-pandemic,0,0
ABI20826,1940,H1N1,Human,pre-pandemic,0,0
ACX31949,2009,H1N1,Human,pandemic-founding,1,0
ACX31934,2009,H1N1,Human,pandemic-founding,1,0
ABD62061,2001,H1N1,Human,pre-pandemic,0,0
AEM63502,2010,H1N1,Human,pandemic-founding,1,0
AID70446,2010,H1N1,Human,pandemic-founding,1,0
AID70447,2011,H1N1,Human,pandemic-founding,1,0
AID70448,2011,H1N1,Human,pandemic-founding,1,0
AID70449,2011,H1N1,Human,pandemic-founding,1,0
AID70450,2011,H1N1,Human,pandemic-founding,1,0
AID70451,2011,H1N1,Human,pandemic-founding,1,0
AID70452,2011,H1N1,Human,pandemic-founding,1,0
AID70453,2011,H1N1,Human,pandemic-founding,1,0
AID70454,2011,H1N1,Human,pandemic-founding,1,0
AID70455,2011,H1N1,Human,pandemic-founding,1,0
AID70456,2011,H1N1,Human,pandemic-founding,1,0
AID70457,2011,H1N1,Human,pandemic-founding,1,0
AID70444,2010,H1N1,Human,pandemic-founding,1,0
AID70445,2010,H1N1,Human,pandemic-founding,1,0
AEX35175,2006,H1N1,Human,pre-pandemic,0,0
ADC45659,2007,H1N1,Human,pre-pandemic,0,0
ADC45802,2009,H1N1,Human,pandemic-founding,1,0
BAQ58279,2014,H1N1,Human,early-drift,2,1
BAO04167,2009,H1N1,Human,pandemic-founding,1,0
ACR18920,2009,H1N1,Human,pandemic-founding,1,0
ADZ53070,2008,H1N1,Human,pre-pandemic,0,0
ADZ53072,2008,H1N1,Human,pre-pandemic,0,0
ADZ53074,2008,H1N1,Human,pre-pandemic,0,0
ADZ53076,2008,H1N1,Human,pre-pandemic,0,0
ADZ53078,2008,H1N1,Human,pre-pandemic,0,0
